Line/Branch,Station Name,Include,Alt Square Name
Red,Alewife,TRUE,
Red,Davis,TRUE,
Red,Porter,TRUE,
Red,Harvard,TRUE,
Red,Central,TRUE,
Red,Kendall/MIT,TRUE,
Red,Charles/MGH,TRUE,
Red,Park Street,TRUE,
Red,Downtown Crossing,TRUE,
Red,South Station,TRUE,
Red,Broadway,TRUE,Southie
Red,Andrew,FALSE,
Red,JFK/UMass,TRUE,
Red (Braintree),North Quincy,FALSE,
Red (Braintree),Wollaston,TRUE,
Red (Braintree),Quincy Center,TRUE,
Red (Braintree),Quincy Adams,FALSE,
Red (Braintree),Braintree,TRUE,
Red (Ashmont),Savin Hill,FALSE,
Red (Ashmont),Fields Corner,TRUE,
Red (Ashmont),Shawmut,FALSE,
Red (Ashmont),Ashmont,TRUE,
Red (Mattapan),Cedar Grove,FALSE,
Red (Mattapan),Butler,FALSE,
Red (Mattapan),Milton,FALSE,
Red (Mattapan),Central Ave,FALSE,
Red (Mattapan),Valley Rd,FALSE,
Red (Mattapan),Capen St,FALSE,
Red (Mattapan),Mattapan,FALSE,
Orange,Oak Grove,TRUE,
Orange,Malden Center,TRUE,
Orange,Wellington,FALSE,
Orange,Assembly,TRUE,
Orange,Sullivan Square,TRUE,East Somerville
Orange,Community College,FALSE,
Orange,North Station,TRUE,
Orange,Haymarket,TRUE,
Orange,State,TRUE,
Orange,Downtown Crossing,TRUE,
Orange,Chinatown,TRUE,
Orange,Tufts Medical Center,TRUE,
Orange,Back Bay,TRUE,
Orange,Massachusetts Avenue,FALSE,
Orange,Ruggles,FALSE,
Orange,Roxbury Crossing,FALSE,
Orange,Jackson Square,FALSE,
Orange,Stony Brook,FALSE,
Orange,Green Street,FALSE,
Orange,Forest Hills,TRUE,
Blue,Wonderland,TRUE,
Blue,Revere Beach,FALSE,
Blue,Beachmont,FALSE,
Blue,Suffolk Downs,FALSE,
Blue,Orient Heights,FALSE,
Blue,Wood Island,FALSE,
Blue,Airport,FALSE,
Blue,Maverick,TRUE,
